Plasmid,Concentration,Replicate,mCherry,GFP
pLac,0.001,2,1.3295361273385853,3.0029935602205815
pLac,0.001,2,1.9410411487491712,2.6901811831068008
pLac,0.001,2,2.1767427986651486,2.208580681975444
pLac,0.001,2,2.5755562208594016,2.2273116926326435
pLac,0.001,2,2.0743789103989667,2.29541362469852
pLac,0.001,2,1.3738949139910557,2.5147936196921323
pLac,0.001,2,2.028645803379581,2.2883270584642634
pLac,0.001,2,2.7151678911784334,2.2393872854191974
pLac,0.001,2,1.78421257546829,2.129993330679276
pLac,0.001,2,2.308539284533122,2.474967864376604
pLac,0.001,2,1.6811101955624277,2.3547019164106344
pLac,0.001,2,2.18865340307966,2.6696494346015016
pLac,0.001,2,2.265526847528349,2.5180517117937287
pLac,0.001,2,1.9138041731126003,2.651404232399534
pLac,0.001,2,2.2378622328827364,2.2128097077009854
pLac,0.001,2,2.140835077084402,2.104062926612925
pLac,0.001,2,1.8086160577660557,2.701202834945973
pLac,0.001,2,2.093513592480344,2.6864476715148404
pLac,0.001,2,1.9583115659569768,2.58536932338007
pLac,0.001,2,2.6974159180047,2.696825891965897
pLac,0.001,2,1.7067368680053523,2.974682291063792
pLac,0.001,2,1.9230703913756548,2.2313723035854727
pLac,0.001,2,1.6966632988554706,1.8776067454604584
pLac,0.001,2,1.7402937074258396,2.304120641997301
pLac,0.001,2,2.324886764553576,2.544338741212706
pLac,0.001,2,1.7883742770612008,2.6072667288770224
pLac,0.001,2,2.095589558632573,2.5371288907382663
pLac,0.001,2,1.0872981389978005,2.5955355125931305
pLac,0.001,2,2.2626947742296992,2.1912636818150983
pLac,0.001,2,2.2210194546839723,1.996307709483086
pLac,0.001,2,1.891398494906512,2.6090452041388312
pLac,0.001,2,1.670429727833249,2.743481186979109
pLac,0.001,2,2.0013240029617503,2.692406794793325
pLac,0.001,2,2.0213598645720268,2.6849457191325117
pLac,0.001,2,1.9380961680589524,2.1223669050912304
pLac,0.001,2,1.5319796561710242,2.5574351265072672
pLac,0.001,2,2.06560203026258,2.3227136330886817
pLac,0.001,2,2.2482564303205432,2.098696245047607
pLac,0.001,2,2.054380722974884,2.494743758307845
pLac,0.001,2,2.082985354861956,2.742818593299921
pLac,0.001,2,1.95262920654452,2.907603320607344
pLac,0.001,2,1.468554791719212,2.489015268883476
pLac,0.001,2,1.5245304394234362,2.387490579278095
pLac,0.001,2,1.812555798935393,2.2682550452653225
pLac,0.001,2,1.6649914023863277,2.0225346215036017
pLac,0.001,2,1.3055725636508395,2.40304617211954
pLac,0.001,2,1.8164608282777008,2.5918647246706863
pLac,0.001,2,1.726222114024336,2.645704208252825
pLac,0.001,2,1.75393225930466,2.1093675642266776
pLac,0.001,2,1.341048929515584,2.8489053898771246
pLac,0.001,2,1.6811101955624277,2.3309221890874143
pLac,0.001,2,2.016435169870378,2.527689439242748
pLac,0.001,2,1.9106718776503289,2.4002568258815487
pLac,0.001,2,2.2584124417547,2.304120641997301
pLac,0.001,2,1.7165865614271718,2.4391312599071764
pLac,0.001,2,1.7448866807888963,2.769855212192005
pLac,0.001,2,2.470831218604475,3.0063660657157034
pLac,0.001,2,1.2802389278884794,1.6052736626667656
pLac,0.001,2,1.8086160577660557,1.8597852416285032
pLac,0.001,2,1.891398494906512,2.3075577070804103
pLac,0.001,2,2.0475089889972122,2.7279940837330003
pLac,0.001,2,2.3346550489327598,2.7210940132076096
pLac,0.001,2,1.7448866807888963,2.5266285230635144
pLac,0.001,2,1.7671636288275951,2.6562342353466835
pLac,0.001,2,2.3880646421150686,2.273816883582616
pLac,0.001,2,1.5393057397150949,2.846266819966168
pLac,0.001,2,2.396547541500405,2.3623622953835626
pLac,0.001,2,2.101759745935924,2.2170001116476983
pLac,0.001,2,2.2210194546839723,2.2353972946851504
pLac,0.001,2,1.4142152402368375,2.1448761286155715
pLac,0.001,2,1.1780667014472117,1.923321503754836
pLac,0.001,2,1.4852819830185835,1.9756043762915487
pLac,0.001,2,2.2915656830627245,2.4970152780118067
pLac,0.001,2,1.8317457209948085,2.4867036970268606
pLac,0.001,2,1.839194937742396,2.279312111455849
pLac,0.001,2,2.0213598645720268,2.7026525866831546
pLac,0.001,2,1.6649914023863277,2.500401611042998
